Channel,Optical Distance [m],Latitude [°],Longitude [°],Elevation [m],Uncertainty [m],Distance along road [m],Pick
0,0.0,46.78586,-121.73694,1667,23.9,0.0,False
1,9.6,46.78583,-121.73694,1667,22.6,2.6,False
2,19.1,46.78581,-121.73695,1667,21.3,5.2,False
3,28.7,46.78579,-121.73696,1667,20.0,7.8,False
4,38.3,46.78577,-121.73697,1667,20.0,10.4,False
5,47.9,46.78574,-121.73698,1668,20.0,13.0,True
6,57.4,46.78572,-121.73699,1668,20.0,15.6,True
7,67.0,46.78570,-121.73700,1668,20.0,18.2,True
8,76.6,46.78568,-121.73701,1668,20.0,20.8,True
9,86.1,46.78565,-121.73702,1668,20.0,23.4,True
10,95.7,46.78563,-121.73703,1668,20.0,26.0,True
11,105.3,46.78564,-121.73718,1668,15.7,37.2,True
12,114.9,46.78565,-121.73732,1667,11.4,48.4,True
13,124.4,46.78566,-121.73747,1667,12.0,59.6,True
14,134.0,46.78564,-121.73761,1667,12.1,71.0,True
15,143.6,46.78562,-121.73776,1667,12.2,82.5,True
16,153.1,46.78560,-121.73791,1667,12.4,93.9,True
17,162.7,46.78556,-121.73800,1666,10.5,101.7,True
18,172.3,46.78552,-121.73808,1666,10.4,109.5,True
19,181.8,46.78549,-121.73817,1665,12.3,117.3,True
20,191.4,46.78545,-121.73825,1665,12.5,124.6,True
21,201.0,46.78541,-121.73833,1664,12.7,131.9,True
22,210.6,46.78538,-121.73841,1664,13.0,139.2,True
23,220.1,46.78534,-121.73849,1663,13.0,146.5,True
24,229.7,46.78530,-121.73857,1663,13.0,153.8,True
25,239.3,46.78525,-121.73868,1663,11.5,163.9,True
26,248.8,46.78520,-121.73879,1662,10.1,174.1,True
27,258.4,46.78515,-121.73890,1662,10.5,184.3,True
28,268.0,46.78510,-121.73901,1662,10.5,194.5,True
29,277.6,46.78504,-121.73912,1662,10.5,204.8,True
30,287.1,46.78498,-121.73922,1662,10.6,215.0,True
31,296.7,46.78493,-121.73933,1662,10.6,225.3,True
32,306.3,46.78487,-121.73944,1662,10.6,235.6,True
33,315.8,46.78481,-121.73951,1660,9.9,244.5,True
34,325.4,46.78474,-121.73957,1659,9.9,253.4,True
35,335.0,46.78468,-121.73964,1657,10.5,262.4,True
36,344.6,46.78460,-121.73966,1657,10.9,270.5,True
37,354.1,46.78453,-121.73968,1657,11.3,278.6,True
38,363.7,46.78446,-121.73969,1658,11.8,286.7,True
39,373.3,46.78439,-121.73971,1658,11.8,294.8,True
40,382.8,46.78431,-121.73973,1658,11.8,302.9,True
41,392.4,46.78419,-121.73973,1656,10.2,316.6,True
42,402.0,46.78407,-121.73974,1655,13.0,330.4,True
43,411.6,46.78395,-121.73975,1653,15.8,344.1,True
44,421.1,46.78389,-121.73977,1652,12.3,350.8,True
45,430.7,46.78383,-121.73980,1652,10.4,357.4,True
46,440.3,46.78377,-121.73982,1652,13.9,364.1,True
47,449.8,46.78372,-121.73985,1651,13.9,370.8,True
48,459.4,46.78365,-121.73993,1650,12.2,380.8,True
49,469.0,46.78358,-121.74002,1650,10.6,390.8,True
50,478.6,46.78351,-121.74010,1650,10.3,400.9,True
51,488.1,46.78344,-121.74019,1649,10.3,410.9,True
52,497.7,46.78342,-121.74029,1649,9.8,419.1,True
53,507.3,46.78339,-121.74039,1648,10.7,427.3,True
54,516.8,46.78337,-121.74049,1648,11.7,435.4,True
55,526.4,46.78334,-121.74059,1647,11.7,443.6,True
56,536.0,46.78332,-121.74070,1647,11.7,451.8,True
57,545.5,46.78332,-121.74081,1646,11.4,460.6,True
58,555.1,46.78333,-121.74093,1646,11.1,469.3,True
59,564.7,46.78334,-121.74104,1645,10.8,478.1,True
60,574.3,46.78334,-121.74115,1645,10.8,486.8,True
61,583.8,46.78335,-121.74127,1644,10.8,495.6,True
62,593.4,46.78337,-121.74138,1643,10.9,504.1,False
